BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
94,02392,WCS,1.3.3.x.2.y.1,C,15,2016/05/11 09:44,2016/08/30 17:55
95,02392,WCS,1.3.3.x.2.y.1,C,1,2016/05/11 09:43,2016/07/27 15:28
96,02392,WCS,1.3.3.x.2.y.1,C,13,2016/05/11 09:43,2016/07/26 13:55
97,02392,WCS,1.3.3.x.3.y.1,C,1,2016/05/11 09:43,2016/06/30 10:34
98,02433,WCS,1.1.1.x.1.1,C,15,2016/05/11 08:54,2016/06/30 10:30
99,02392,WCS,1.3.3.x.3.y.1,C,8,2016/05/10 15:57,2016/06/21 08:20
100,02471,WCS,1.3.3.x.2.y.1,C,3,2016/04/27 09:39,2016/09/02 16:18
101,02471,WCS,1.3.3.x.2.y.1,C,6,2016/04/27 09:37,2016/09/06 15:14
102,02471,WCS,1.3.3.x.2.y.1,C,13,2016/04/27 09:36,2016/09/02 16:09
103,02392,WCS,1.3.3.x.2.y.1,C,1,2016/04/27 09:04,2016/08/30 15:43
104,02392,WCS,1.3.3.x.2.y.1,C,15,2016/04/27 08:55,2016/08/31 09:06
105,02392,WCS,1.3.3.x.2.y.1,C,20,2016/04/19 10:46,2016/08/30 15:31
106,02471,WCS,1.3.3.x.2.y.1,C,15,2016/04/18 10:21,2016/09/02 15:50
107,02392,WCS,1.3.3.x.2.y.1,C,12,2016/04/18 09:25,2016/06/21 15:47
108,02392,WCS,1.3.3.x.3.y.1,C,5,2016/04/18 09:23,2016/06/16 15:57
109,02471,WCS,1.3.3.x.2.y.1,C,2,2016/04/13 13:16,2016/09/08 08:02
110,02247,WCS,1.3.3.x.3.y.1,C,20,2016/04/11 11:32,2016/06/16 16:39
111,02305,WCS,1.3.3.x.2.y.1,C,17,2016/08/15 11:27,2016/08/31 16:35
112,02305,WCS,1.3.3.x.2.y.1,C,7,2016/08/09 10:15,2016/08/19 15:25
113,02305,WCS,1.3.3.x.2.y.1,C,5,2016/08/02 10:05,2016/08/19 15:25
114,02367,SPY  ,1.3.3.x.3.y.1,C,5,2016/09/06 17:27,2016/09/06 17:28
115,02392,SPY  ,1.5.x.y.3,C,16,2016/09/02 08:35,2016/09/07 11:30
116,02247,SPY  ,1.3.3.x.2.y.1,C,22,2016/09/01 20:43,2016/10/05 10:32
117,02247,SPY  ,1.3.3.x.3.y.1,C,18,2016/09/01 20:43,2016/09/27 11:34
118,02247,SPY  ,1.5.x.y.3,C,6,2016/09/01 20:43,2016/09/23 20:12
119,02392,SPY  ,1.3.3.x.3.y.1,C,22,2016/09/01 20:42,2016/09/27 15:48
120,02471,SPY  ,1.3.3.x.2.y.1,C,15,2016/09/01 20:41,2016/10/05 21:03
121,02247,SPY  ,1.3.3.x.2.y.1,C,22,2016/09/01 20:38,2016/09/30 19:29
122,02247,SPY  ,1.3.3.x.3.y.1,C,16,2016/09/01 20:38,2016/09/21 09:10
123,02247,SPY  ,1.3.3.x.3.y.1,C,14,2016/09/01 20:38,2016/09/29 20:32
124,02247,SPY  ,1.3.1.x.y.1.1,C,12,2016/09/01 20:38,2016/09/27 15:45
125,02247,SPY  ,1.3.3.x.2.y.1,C,21,2016/09/01 20:38,2016/09/15 17:47
126,02247,SPY  ,1.3.3.x.2.y.1,C,6,2016/09/01 20:38,2016/09/23 20:14
127,02247,SPY  ,1.3.3.x.3.y.1,C,4,2016/09/01 20:38,2016/09/23 20:13
128,02247,SPY  ,1.3.3.x.3.y.1,C,15,2016/09/01 20:38,2016/09/20 19:22
